ADDRESS,BUILDING COMPANY NAME
365 TOMPKINS AVE, BROOKLYN, NY 11216,365 TOMPKINS REALTY 1 LLC
25 BOGART ST, BROOKLYN, NY 11206,VARET BOGART PARTNERS
355 STOCKTON ST, BROOKLYN, NY 11206,355 STOCKTON LLC
50 STANHOPE ST, BROOKLYN, NY 11221,50 STANHOPE DEVELOPMENT LLC
179 PUTNAM AVE, BROOKLYN, NY 11216,PUTNAM RESIDENCE, LLC
1223 BUSHWICK AVE, BROOKLYN, NY 11221,1223 BUSHWICK AVENUE, LLC
1248 DEKALB AVE, BROOKLYN, NY 11221,1248 DEKALB LLC
277 CLASSON AVE, BROOKLYN, NY 11205,277 CLASSON AVENUE LLC
1088 BEDFORD AVE, BROOKLYN, NY 11216,1088 BEDFORD AVE LLC
233 JEFFERSON AVE, BROOKLYN, NY 11216,233 JEFFERSON LLC
101 QUINCY ST, BROOKLYN, NY 11238,101 QUINCY LLC
198 SCHOLES ST, BROOKLYN, NY 11206,198 SCHOLES LLC
687 DRIGGS AVE, BROOKLYN, NY 11211,GRAND LIVING, LLC
376 LEWIS AVE, BROOKLYN, NY 11233,378 LEWIS LLC
1159 DEAN ST, BROOKLYN, 11216,1159 DEAN LLC
1000 BROADWAY, BROOKLYN, NY 11221,1000 BROADWAY LLC
1055 DEAN ST, BROOLYN, NY 11216,1055 DEAN LLC
836 BERGEN ST, BROOKLYN, NY 11238,BERGEN ROYAL PALACE, LLC
1087 FLUSHING AVE, BROOKLYN, NY 11237,FPTK
1357 GREENE AVE, BROOKLYN, NY 11237,MAG REALTY CORP.
524 METROPOLITAN, BROOKLYN, NY 11211,524 METROPOLITAN HOLDINGS LLC
119 LINDEN ST, BROOKLYN, NY 11221,LINDEN REALTY HOLDINGS LLC
144 WOODRUFF AVE, BROOKLYN, NY 11226,WOODRUFF OWNER LLC
1935 BERGEN ST, BROOKLYN, NY 11233,BERGEN 1935 HOLDINGS LLC
238 WILSON AVE, BROOKLYN, NY 11237,JAIME ARROYO
399 LINDEN ST, BROOKLYN, NY 11237,LINDEN ASSETS, LLC
184 IRVING AVE, BROOKLYN, NY 11237,184 IRVING REALTY CORP
98 RALPH AVE, BROOKLYN, NY 11221,98 RALPH LLC
25 MALCOLM X BLVD, BROOKLYN, 11221,JMP PROPERTIES
460 THROOP AVE, BROOKLYN, NY 11221,JMP PROPERTIES
57 HERKIMER ST, BROOKLYN, NY 11216,JMP PROPERTIES
50 GRANITE ST, BROOKLYN, NY 11207,RH 50 GRANITE, LLC
38 GRANITE ST, BROOKLYN, NY 11207,RH 38 GRANITE LLC
1867 MADISON PL, BROOKLYN, NY 11229,1867 MADISON ST CORP
239 STANHOPE ST, BROOKLYN, NY 11237,239 STANHOPE ST CORP
178 SUYDAM ST, BROOKLYN, NY 11221,178 SUYDAM ST CORP
159 CENTRAL AVE, BROOKLYN, NY 11221,159 CENTRAL LLC
355 STOCKHOLM ST, BROOKLYN, NY 11237,355 STOCKHOLM LLC
96 DE SALES PLACE, BROOKLYN, NY 11207,VANDERVEER PLAZA LLC
105-107 VANDERVEER ST, BROOKLYN, NY 11207,VANDERVEER PLAZA LLC
220 STOCKHOLM ST, BROOKLYN, NY 11237,STOCKHOLM STREET DEVELOPERS LLC
161 WILSON AVE, BROOKLYN, NY 11237,WA2 GROUP LLC
199 KNICKERBOCKER AVE, BROOKLYN, NY 11237,199 KNICKERBOCKER DEVELOPMENT, LLC
99 MORGAN AVE, BROOKLYN, NY 11237,99 MA, LLC
167 WILSON ST, BROOKLYN, NY 11211,MEI YUNG CHAU
165 WILSON ST, BROOKLYN, NY 11211,WILSON EMPIRE, INC
99 MORGAN AVE, BROOKLYN, NY 11237,99 MA, LLC
764 HART ST, BROOKLYN, NY 11237,HART ST DEVELOPMENT, INC
209 WILSON AVE, BROOKLYN, NY 11237,FU HAO MANAGEMENT, LLC
1442 DEKALB AVE, BROOKLYN, NY 11237,DA3 PARTNERS LLC
220 STOCKHOLM ST, BROOKLYN, NY 11237,STOCKHOLM STREET DEVELOPMENT, LLC
170 NY AVE, BROOKLYN, NY 11216,170 NY PROPERTIES LLC
69 TROUTMAN ST, BROOKLYN, NY 11206,JOSE P. TORRES
238 WILSON AVE, BROOKLYN, NY 11237,JAMIE ARROYO
665 WOODWARD AVE, RIDGEWOOD, NY 11385,KAB WOODWARD LLC
309 PALMETTO ST, BROOKLYN, NY 11237,309 PALMETTO REALTY CORP
840 HART ST, BROOKLYN, NY 11237,275 LINDEN REALTY CORP.
237 HIMROD ST, BROOKLYN, NY 11237,HIMROD REALTY LLC
248 HIMROD ST, BROOKLYN, NY 11237,HIMROD REALTY LLC.
32 STARR ST, BROOKLYN, NY 11221,STARR STREET LLC
193 WILSON AVE, BROOKLYN, NY 11237,WYCKOFF STONE, LLC
251 WYCKOFF AVE, BROOKLYN, NY 11237,IRVING AVE LLC
48 WYCKOFF AVE, BROOKLYN, NY 11237,WYCKOFF STONE, LLC
282 HIMROD ST, BROOKLYN, NY 11237,282 HIMROD REALTY CORP
88 STARR ST, BROOKLYN, NY 11237,CHET CORP
746 MACDONOUGH ST, BROOKLYN, NY 11233,AMF REALTY NY LLC
187 STANHOPE ST, BROOKLYN, NY 11237,187 STANHOPE STREET LLC
170 IRVING AVE, BROOKLYN, NY 11237,170 IRVING AVENUE LLC
99 ROGERS AVE, BROOKLYN, NY 11216,RAN BKLYN, LLC
296 GROVE ST, BROOKLYN, NY 1237,296 GROVE LLC
56 HIMROD ST, BROOKLYN, NY 11211,SHANNON MARROW
1348 DEKALB AVE, BROOKLYN, NY 11221,SHERAB TSANGPO
239 STANHOPE ST, BROOKLYN, NY 11237,239 STANHOPE ST CORP
1378 BUSHWICK AVE, BROOKLYN, NY 11207,1378 BUSHWICK AVENUE LLC
224 GRANT AVENUE, BROOKLYN, NY 11208,152 MADISON LLC
312 STUYVESANT ST., BROOKLYN 11233,312 BRICKS LLC
490 MADISON ST., BROOKLYN, NY 11221,490 MADISON LLC
1172 EASTERN PARKWAY, BFROOKLYN, NY 11213,660 BRICKS LLC
78 SOMERS ST, BROOKLYN, NY 11233,78 SUMMERS LLC
1161 PRESIDENT ST., BROOKLYN, NY 11225,A & L EQUITIES HOLDINGS GROUP LLC
1261 BERGEN ST, BROOKLYN, NY 11213,BERGEN BRICKS LLC
549 PINE STREET, BROOKLYN, NY 11208,FULTON BRICKS LLC
889 CAULDWELL AVENUE, BROOKLYN, NY 10456,GREEN BUILDERS NYC LLC
248 CLEVELAND ST, BROOKLYN, NY 11208,248 BRICKS LLC
195 WINTHROP ST., BROOKLYN, NY 11225,LEFFERTS GARDENS BRICKS LLC
1150 EASTERN PARKWAY, BROOKLYN, NY,MA BLUE BRICKS LLC
2087-2091 FULTON ST., BROOKLYN, NY,MA COOPER LLC
380 MARCUS GARVEY BLVD., BROPOKLYN, NY,ORANGE BRICKS LLC
1393 PACIFIC ST., BROOKLYN, NY 11216,PACIFIC BRICKS LLC
1486 FULTON ST., BROOKLYN, NY 11216,PINK STONE LLC
674 JEFFERSON AVE., BROOKLYN, NY 11221,PUTNAM BROOKLYN LLC
99 ROGERS ST., BROOKLYN, NY 11216,RAN BROOKLYN LLC
131 LINDEN ST., BROOKLYN, NY 11221,PRIME BROOKLYN LLC
319 BAINBRIDGE, BROOKLYN, NY 11221,GOOD GUY DEV LLC
1100 JEFFERSON AVENUE, BROOKLYN, NY 11221,1100 BRICKS LLC
1050 DECATUR ST., BROOKLYN, NY 11207,DECATUR BRICKS, LLC
1117 GREENE AVENUE, BROOKLYN, NY 11221,1117 GREENE LLC
1533 NOSTRAND AVENUE, BROOKLYN, NY 11226,NOSTRAND BRICKS LLC
228 NICHOLS AVE, BROOKLYN, NY 11208,16 BRICKS LLC
736 VERMONT ST., BROOKLYN, NY 11207,736 VERMONT GROUP BRICKS LLC
8 CYPRESS CT, BROOKLYN, NY 11208,26 BRICKS LLC
744 SARATOGA AVE, BROOKLYN, NY 11212,GREEN BROOKLYN HOMES
301 MONROE ST., BROOKLYN, NY 11216,1 SUB DEVELOPMENT
1533 NOSTRAND AVENUE, BROOKLYN, NY 11226,NOSTRAND BRICKS, LLC
204 CORNELIA, BROOKLYN, NY 11221,204 BRICKS LLC
1509 FULTON STREET, BROOKLYN, NY 11216,GREEN BRICKS LLC
